entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-01-03 10:11:00,2023-01-03 10:24:00,SHORT,1012.8,1015.0,-255000.00000000454,13
2023-01-03 10:27:00,2023-01-03 10:30:00,LONG,1012.9,1011.7,-154999.9999999932,3
2023-01-03 10:32:00,2023-01-03 10:35:00,SHORT,1010.5,1011.8,-164999.99999999546,3
2023-01-03 10:36:00,2023-01-03 10:43:00,SHORT,1011.6,1012.7,-145000.00000000227,7
2023-01-03 10:47:00,2023-01-03 11:03:00,LONG,1013.3,1015.7,205000.00000000908,16
2023-01-03 11:04:00,2023-01-03 11:18:00,LONG,1016.6,1014.8,-215000.0000000068,14
2023-01-03 11:19:00,2023-01-03 11:25:00,LONG,1015.6,1015.1,-85000.0,6
2023-01-03 13:01:00,2023-01-03 13:12:00,LONG,1014.8,1017.6,245000.0000000068,11
2023-01-03 13:13:00,2023-01-03 13:24:00,LONG,1018.8,1021.3,215000.0,11
2023-01-03 13:25:00,2023-01-03 13:33:00,LONG,1020.6,1023.0,204999.99999999773,8
2023-01-03 13:34:00,2023-01-03 13:39:00,LONG,1022.7,1025.6,254999.99999998638,5
2023-01-03 13:47:00,2023-01-03 14:15:00,LONG,1030.2,1026.9,-364999.99999999546,28
2023-01-03 14:17:00,2023-01-03 14:26:00,LONG,1029.5,1036.2,635000.0000000045,9
2023-01-04 09:12:00,2023-01-04 09:27:00,LONG,1044.7,1048.4,335000.00000000454,15
2023-01-04 09:28:00,2023-01-04 09:40:00,LONG,1047.9,1046.2,-205000.00000000454,12
2023-01-04 09:59:00,2023-01-04 10:06:00,SHORT,1043.3,1044.5,-155000.00000000454,7
2023-01-04 10:15:00,2023-01-04 10:23:00,LONG,1044.3,1046.8,215000.0,8
2023-01-04 10:47:00,2023-01-04 10:58:00,LONG,1050.5,1048.5,-235000.0,11
2023-01-04 11:01:00,2023-01-04 11:16:00,SHORT,1047.1,1044.2,254999.99999998638,15
2023-01-04 11:21:00,2023-01-04 11:25:00,SHORT,1044.9,1044.9,-35000.0,4
2023-01-04 11:26:00,2023-01-04 11:27:00,SHORT,1045.8,1046.1,-64999.99999999545,1
2023-01-04 11:29:00,2023-01-04 13:12:00,SHORT,1045.5,1047.0,-185000.0,14
2023-01-04 13:18:00,2023-01-04 13:21:00,SHORT,1045.0,1042.8,185000.00000000454,3
2023-01-04 13:22:00,2023-01-04 13:29:00,SHORT,1043.0,1044.4,-175000.00000000908,7
2023-01-04 13:30:00,2023-01-04 13:32:00,SHORT,1044.0,1047.0,-335000.0,2
2023-01-04 13:34:00,2023-01-04 13:43:00,LONG,1047.1,1044.5,-294999.9999999909,9
2023-01-04 13:46:00,2023-01-04 13:50:00,SHORT,1045.9,1046.0,-44999.999999990905,4
2023-01-04 13:51:00,2023-01-04 13:56:00,LONG,1045.9,1043.7,-255000.00000000454,5
2023-01-04 13:58:00,2023-01-04 14:05:00,SHORT,1041.0,1044.0,-335000.0,7
2023-01-04 14:07:00,2023-01-04 14:17:00,SHORT,1043.8,1048.3,-485000.0,10
2023-01-04 14:22:00,2023-01-05 09:00:00,LONG,1043.3,1044.8,115000.0,15
2023-01-05 09:01:00,2023-01-05 09:05:00,SHORT,1044.9,1046.2,-164999.99999999546,4
2023-01-05 09:15:00,2023-01-05 09:21:00,LONG,1046.3,1048.2,155000.00000000908,6
2023-01-05 09:22:00,2023-01-05 09:27:00,LONG,1048.0,1047.2,-114999.99999999546,5
2023-01-05 09:28:00,2023-01-05 09:40:00,LONG,1046.8,1048.2,105000.00000000908,12
2023-01-05 09:41:00,2023-01-05 09:46:00,LONG,1048.1,1046.8,-164999.99999999546,5
2023-01-05 09:47:00,2023-01-05 09:56:00,LONG,1046.4,1049.3,254999.99999998638,9
2023-01-05 09:57:00,2023-01-05 10:17:00,LONG,1049.1,1051.4,195000.0000000182,20
2023-01-05 10:18:00,2023-01-05 10:28:00,LONG,1051.2,1049.7,-185000.0,10
2023-01-05 10:55:00,2023-01-05 11:18:00,SHORT,1048.0,1046.3,135000.00000000454,23
2023-01-05 11:19:00,2023-01-05 11:25:00,SHORT,1046.8,1046.2,24999.999999990905,6
2023-01-05 11:26:00,2023-01-05 11:27:00,SHORT,1046.6,1046.9,-65000.00000001819,1
2023-01-05 11:28:00,2023-01-05 11:29:00,SHORT,1046.5,1047.0,-85000.0,1
2023-01-05 11:30:00,2023-01-05 13:06:00,SHORT,1047.0,1048.0,-135000.0,7
2023-01-05 13:17:00,2023-01-05 13:27:00,LONG,1048.2,1050.0,144999.99999999546,10
2023-01-05 13:28:00,2023-01-05 13:35:00,LONG,1050.8,1049.4,-174999.99999998635,7
2023-01-05 13:36:00,2023-01-05 13:45:00,LONG,1049.5,1051.9,205000.00000000908,9
2023-01-05 13:46:00,2023-01-05 13:47:00,LONG,1051.9,1054.2,194999.99999999546,1
2023-01-05 13:56:00,2023-01-05 14:01:00,LONG,1054.3,1058.3,365000.0,5
2023-01-05 14:08:00,2023-01-05 14:17:00,LONG,1058.3,1054.6,-405000.00000000454,9
