entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-01-04 09:31:00,2023-01-04 09:44:00,LONG,1049.5,1045.8,-405000.00000000454,13
2023-01-04 09:51:00,2023-01-04 10:07:00,SHORT,1043.1,1045.1,-235000.0,16
2023-01-05 09:56:00,2023-01-05 10:29:00,LONG,1049.3,1049.6,-5000.0000000045475,33
2023-01-06 09:34:00,2023-01-06 10:35:00,LONG,1053.6,1061.8,785000.0000000045,61
2023-01-06 14:20:00,2023-01-06 14:30:00,SHORT,1049.0,1050.7,-205000.00000000454,10
2023-01-09 09:45:00,2023-01-09 10:01:00,SHORT,1056.7,1058.1,-174999.99999998635,16
2023-01-09 10:27:00,2023-01-09 10:42:00,LONG,1062.6,1059.7,-324999.9999999864,15
2023-01-10 10:46:00,2023-01-10 11:14:00,SHORT,1051.0,1050.2,44999.99999999546,28
2023-01-10 13:55:00,2023-01-10 14:06:00,LONG,1057.6,1054.0,-394999.9999999909,11
2023-01-11 09:36:00,2023-01-11 10:03:00,LONG,1063.7,1063.5,-55000.00000000455,27
2023-01-12 09:31:00,2023-01-12 10:06:00,LONG,1067.9,1066.8,-145000.00000001365,35
2023-01-12 10:14:00,2023-01-12 10:46:00,SHORT,1064.6,1064.7,-45000.00000001364,32
2023-01-13 09:47:00,2023-01-13 09:54:00,LONG,1075.2,1072.4,-314999.99999999546,7
2023-01-13 13:05:00,2023-01-13 13:37:00,SHORT,1068.4,1070.0,-194999.99999999092,32
2023-01-16 09:35:00,2023-01-16 10:37:00,SHORT,1071.0,1066.5,415000.0,62
2023-01-16 14:03:00,2023-01-16 14:30:00,LONG,1074.5,1075.0,15000.0,27
2023-01-17 09:43:00,2023-01-17 10:29:00,LONG,1082.0,1084.8,244999.99999999546,46
2023-01-18 10:36:00,2023-01-18 10:57:00,LONG,1113.5,1113.4,-44999.999999990905,21
2023-01-19 09:37:00,2023-01-19 10:42:00,LONG,1117.6,1121.7,375000.0000000136,65
2023-01-27 13:55:00,2023-01-27 14:30:00,SHORT,1135.5,1124.6,1055000.000000009,35
2023-01-30 10:35:00,2023-01-30 10:43:00,LONG,1128.1,1123.7,-474999.9999999864,8
2023-01-30 10:55:00,2023-01-30 11:20:00,SHORT,1119.3,1123.6,-464999.99999999546,25
2023-01-31 09:30:00,2023-01-31 09:46:00,SHORT,1103.6,1106.7,-345000.0000000136,16
2023-01-31 13:51:00,2023-01-31 13:59:00,LONG,1110.5,1108.0,-285000.0,8
2023-02-01 10:31:00,2023-02-01 11:08:00,SHORT,1122.8,1116.2,624999.9999999909,37
2023-02-02 09:41:00,2023-02-02 10:08:00,SHORT,1087.3,1090.1,-314999.99999999546,27
2023-02-02 13:33:00,2023-02-02 13:38:00,LONG,1095.7,1092.3,-375000.0000000091,5
2023-02-03 09:53:00,2023-02-03 10:16:00,SHORT,1087.1,1089.3,-255000.00000000454,23
2023-02-06 09:35:00,2023-02-06 09:53:00,SHORT,1069.5,1073.1,-394999.9999999909,18
2023-02-06 11:01:00,2023-02-06 11:20:00,LONG,1078.7,1081.0,194999.99999999546,19
2023-02-07 09:45:00,2023-02-07 10:23:00,LONG,1092.2,1090.5,-205000.00000000454,38
2023-02-07 10:53:00,2023-02-07 11:20:00,SHORT,1087.0,1085.3,135000.00000000454,27
2023-02-08 09:55:00,2023-02-08 10:50:00,LONG,1073.4,1074.3,54999.99999998635,55
2023-02-08 13:28:00,2023-02-08 13:35:00,SHORT,1069.4,1073.6,-454999.99999998184,7
2023-02-09 09:30:00,2023-02-09 09:46:00,SHORT,1064.0,1065.9,-225000.00000000908,16
2023-02-09 10:34:00,2023-02-09 10:49:00,LONG,1070.5,1067.1,-375000.0000000091,15
2023-02-10 09:35:00,2023-02-10 09:50:00,SHORT,1054.5,1057.2,-305000.00000000454,15
2023-02-13 09:55:00,2023-02-13 10:55:00,SHORT,1041.1,1039.7,104999.99999998635,60
2023-02-14 10:09:00,2023-02-14 10:40:00,SHORT,1035.8,1036.8,-135000.0,31
2023-02-15 09:43:00,2023-02-15 10:37:00,LONG,1032.8,1046.5,1335000.0000000047,54
2023-02-16 13:24:00,2023-02-16 13:35:00,SHORT,1040.7,1041.2,-85000.0,11
2023-02-16 14:00:00,2023-02-16 14:30:00,LONG,1047.6,1053.0,505000.0000000091,30
2023-02-17 10:59:00,2023-02-17 11:20:00,SHORT,1046.7,1044.3,205000.00000000908,21
2023-02-20 09:38:00,2023-02-20 10:24:00,LONG,1056.9,1057.1,-15000.00000001819,46
2023-02-21 09:45:00,2023-02-21 09:51:00,SHORT,1086.1,1088.6,-285000.0,6
2023-02-22 09:33:00,2023-02-22 10:16:00,LONG,1067.8,1067.8,-35000.0,43
2023-02-22 13:54:00,2023-02-22 14:01:00,SHORT,1064.1,1068.0,-425000.0000000091,7
2023-02-23 09:32:00,2023-02-23 09:43:00,SHORT,1042.0,1042.7,-105000.00000000454,11
2023-02-24 09:49:00,2023-02-24 10:48:00,SHORT,1040.5,1036.3,385000.00000000454,59
2023-02-27 09:34:00,2023-02-27 09:51:00,SHORT,1008.6,1011.6,-335000.0,17
2023-02-27 14:06:00,2023-02-27 14:11:00,LONG,1019.7,1012.9,-715000.0000000069,5
2023-02-28 10:21:00,2023-02-28 11:04:00,LONG,1021.0,1020.0,-135000.0,43
2023-02-28 13:48:00,2023-02-28 13:59:00,SHORT,1013.3,1013.5,-55000.00000000455,11
2023-03-01 10:22:00,2023-03-01 11:20:00,LONG,1006.4,1017.1,1035000.0000000047,58
2023-03-02 09:31:00,2023-03-02 09:50:00,LONG,1033.5,1032.7,-114999.99999999546,19
2023-03-02 10:25:00,2023-03-02 11:14:00,SHORT,1028.6,1026.7,154999.99999998635,49
2023-03-06 09:30:00,2023-03-06 09:53:00,LONG,1029.3,1028.2,-144999.99999999092,23
2023-03-06 14:23:00,2023-03-06 14:30:00,SHORT,1012.2,1010.2,165000.0,7
2023-03-08 10:24:00,2023-03-08 10:35:00,LONG,1020.5,1016.5,-435000.0,11
2023-03-09 10:11:00,2023-03-09 10:38:00,SHORT,1036.4,1038.2,-214999.99999999546,27
2023-03-09 13:29:00,2023-03-09 13:45:00,LONG,1043.9,1040.7,-355000.00000000454,16
2023-03-10 13:11:00,2023-03-10 13:30:00,SHORT,1040.5,1040.6,-44999.999999990905,19
2023-03-10 14:01:00,2023-03-10 14:08:00,LONG,1045.4,1041.5,-425000.0000000091,7
2023-03-13 10:39:00,2023-03-13 11:20:00,LONG,1050.9,1052.5,124999.99999999092,41
2023-03-15 10:30:00,2023-03-15 11:20:00,LONG,1060.6,1062.7,175000.00000001365,50
2023-03-16 09:30:00,2023-03-16 09:48:00,SHORT,1054.3,1056.3,-235000.0,18
2023-03-17 09:56:00,2023-03-17 10:22:00,SHORT,1054.1,1052.1,165000.0,26
2023-03-20 10:20:00,2023-03-20 10:51:00,SHORT,1032.8,1031.0,144999.99999999546,31
2023-03-21 09:39:00,2023-03-21 10:11:00,SHORT,1026.2,1024.6,125000.00000001365,32
2023-03-22 09:55:00,2023-03-22 10:14:00,SHORT,1032.0,1032.5,-85000.0,19
2023-03-22 13:45:00,2023-03-22 13:50:00,LONG,1038.8,1035.2,-394999.9999999909,5
2023-03-23 09:56:00,2023-03-23 10:47:00,LONG,1031.0,1030.5,-85000.0,51
